"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"taxID1579343","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sp._263_SSPC"
"taxID1852370","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia","Prevotellamassilia_timonensis"
"taxID2049043","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","unclassified","Desulfovibrionaceae_bacterium"
"taxID2093857","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter_welbionis"
"taxID847","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Oxalobacter","Oxalobacter_formigenes"
"taxID1303","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_oralis"
"taxID1502","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_perfringens"
"taxID1535","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","unclassified","[Clostridium]_leptum"
"taxID1680","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_adolescentis"
"taxID28037","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mitis"
"taxID39482","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena_contorta"
"taxID39486","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea_formicigenerans"
"taxID39488","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerobutyricum","Anaerobutyricum_hallii"
"taxID39491","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","unclassified","[Eubacterium]_rectale"
"taxID39492","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","unclassified","[Eubacterium]_siraeum"
"taxID40520","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_obeum"
"taxID46228","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","[Ruminococcus]_lactaris"
"taxID46503","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_merdae"
"taxID61171","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania_filiformis"
"taxID88431","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea_longicatena"
"taxID139208","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Promicromonosporaceae","Isoptericola","Isoptericola_variabilis"
"taxID214853","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Anaerofustis","Anaerofustis_stercorihominis"
"taxID214856","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_finegoldii"
"taxID239935","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_muciniphila"
"taxID246787","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_cellulosilyticus"
"taxID301301","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia_hominis"
"taxID329854","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_intestinalis"
"taxID342942","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_glycyrrhizinilyticus"
"taxID360807","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia_inulinivorans"
"taxID446660","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Adlercreutzia","Adlercreutzia_equolifaciens"
"taxID471189","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_pamelaeae"
"taxID626932","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes_indistinctus"
"taxID649756","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerostipes","Anaerostipes_hadrus"
"taxID1150298","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Fusicatenibacter","Fusicatenibacter_saccharivorans"
"taxID1297617","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Intestinimonas","Intestinimonas_butyriciproducens"
"taxID1472761","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma_massiliensis"
"taxID1501392","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Barnesiellaceae","Coprobacter","Coprobacter_secundus"
"taxID1550024","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruthenibacterium","Ruthenibacterium_lactatiformans"
"taxID1628085","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Agathobaculum","Agathobaculum_butyriciproducens"
"taxID1650661","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_phoceensis"
"taxID1697793","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","unclassified","Clostridia_bacterium_UC5.1-1E11"
"taxID1715004","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","unclassified","Clostridiales_bacterium_KLE1615"
"taxID1720200","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus_rubiinfantis"
"taxID1759399","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sp._A12"
"taxID1776384","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Emergencia","Emergencia_timonensis"
"taxID1841867","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Phocea","Phocea_massiliensis"
"taxID1898204","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","unclassified","Clostridiaceae_bacterium"
"taxID2049045","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","unclassified","Eubacteriaceae_bacterium"
"taxID2054177","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","unclassified","Christensenellaceae_bacterium"
"taxID2126740","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_fessum"
"taxID2211183","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Evtepia","Evtepia_gabavorous"
"taxID2292295","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Butyricicoccus","Butyricicoccus_sp._AM29-23AC"
"taxID2292885","Bacteria","Firmicutes","unclassified","unclassified","unclassified","unclassified","Firmicutes_bacterium_AF16-15"
"taxID2292991","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Catenibacterium","Catenibacterium_sp._AM22-15"
"taxID2292997","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp._AF15-49"
"taxID2293011","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp._AF34-10BH"
"taxID2316025","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter","Mediterraneibacter_butyricigenes"
"taxID2358141","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum_faecicola"
"taxID2500537","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Candidatus_Cibiobacter","Candidatus_Cibiobacter_qucibialis"
"taxID2606635","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Waltera","Waltera_intestinalis"
"taxID2709718","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_sp._MSK.20.85"
"taxID2720820","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Avimonas","Candidatus_Avimonas_narfia"
"taxID2720825","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Allochristensenella","Candidatus_Allochristensenella_caecavium"
"taxID2721144","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Pararuminococcus","Candidatus_Pararuminococcus_gallinarum"
"taxID2763654","Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Luoshenia","Luoshenia_tenuis"
"taxID2764322","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogeniiclostidium","Hydrogeniiclostidium_mannosilyticum"
"taxID1283","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_haemolyticus"
"taxID1354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_hirae"
"taxID1382","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella_parvula"
"taxID1661","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella_pyogenes"
"taxID39777","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella_atypica"
"taxID46124","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Granulicatella_adiacens"
"taxID55565","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_graevenitzii"
"taxID68892","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_infantis"
"taxID157687","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_wadei"
"taxID169292","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_aurimucosum"
"taxID187326","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera_micronuciformis"
"taxID272548","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_dentalis"
"taxID796942","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Stomatobaculum","Stomatobaculum_longum"
"taxID936548","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._ICM47"
"taxID1105030","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._ICM58"
"taxID1284680","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._S6-Spd3"
"taxID824","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_gracilis"
"taxID1305","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sanguinis"
"taxID1309","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_mutans"
"taxID1499683","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_culturomicium"
"taxID1254","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus_acidilactici"
"taxID1353","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_gallinarum"
"taxID1529","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_cadaveris"
"taxID1579","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_acidophilus"
"taxID1655","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_naeslundii"
"taxID318464","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sulfidigenes"
"taxID1580","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus_brevis"
"taxID47770","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_crispatus"
"taxID158836","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Enterobacter","Enterobacter_hormaechei"
"taxID29391","Bacteria","Firmicutes","Bacilli","Bacillales","unclassified","Gemella","Gemella_morbillorum"
"taxID31971","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacillus","Amedibacillus_dolichus"
"taxID45634","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_cristatus"
"taxID84135","Bacteria","Firmicutes","Bacilli","Bacillales","unclassified","Gemella","Gemella_sanguinis"
"taxID154288","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Turicibacteraceae","Turicibacter","Turicibacter_sanguinis"
"taxID160404","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Anaerotignum","Anaerotignum_lactatifermentans"
"taxID166486","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Roseburia","Roseburia_intestinalis"
"taxID169435","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus_colihominis"
"taxID204516","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Phocaeicola","Phocaeicola_massiliensis"
"taxID341225","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelatoclostridium","[Clostridium]_saccharogumia"
"taxID371601","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_xylanisolvens"
"taxID410072","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_comes"
"taxID673271","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Catenibacillus","Catenibacillus_scindens"
"taxID674529","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides_faecis"
"taxID1230734","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","Clostridiales_bacterium_S5-A14a"
"taxID1335613","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter","Gordonibacter_urolithinfaciens"
"taxID1720294","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_massiliensis"
"taxID1720313","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Bittarella","Bittarella_massiliensis"
"taxID1737424","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_massiliensis"
"taxID1776391","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Romboutsia","Romboutsia_timonensis"
"taxID1796618","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Cuneatibacter","Cuneatibacter_caecimuris"
"taxID1871020","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp._Marseille-P3244"
"taxID1871021","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_phocaeense"
"taxID1898207","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","unclassified","Clostridiales_bacterium"
"taxID1912855","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalimonas","Faecalimonas_umbilicata"
"taxID1965604","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaeromassilibacillus","Anaeromassilibacillus_sp._An250"
"taxID1981510","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus","Monoglobus_pectinilyticus"
"taxID2086584","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Massilistercora","Massilistercora_timonensis"
"taxID2292231","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_sp._AF21-14LB"
"taxID2509240","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_faecicola"
"taxID2584659","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor_sp._BIOML-A6"
"taxID2721154","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Schneewindia","Candidatus_Schneewindia_gallinarum"
"taxID2763041","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Dysosmobacter","Dysosmobacter_sp._NSJ-60"
"taxID2763053","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Lawsonibacter","Lawsonibacter_sp._NSJ-51"
"taxID1255","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus_pentosaceus"
"taxID1328","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_anginosus"
"taxID1335","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_equinus"
"taxID1584","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_delbrueckii"
"taxID28025","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium_animalis"
"taxID29354","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lacrimispora","Lacrimispora_celerecrescens"
"taxID39490","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_ramulus"
"taxID116085","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Coprococcus","Coprococcus_catus"
"taxID147207","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_intestinalis"
"taxID290055","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena_fissicatena"
"taxID423477","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella_rogosae"
"taxID536633","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_glucerasea"
"taxID626934","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_piriformis"
"taxID745368","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Gemmiger","Gemmiger_formicilis"
"taxID871664","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_stercoris"
"taxID1160721","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus_bicirculans"
"taxID1472417","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Odoribacteraceae","Butyricimonas","Butyricimonas_paravirosa"
"taxID1519439","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Oscillibacter","Oscillibacter_sp._ER4"
"taxID1673720","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerotruncus","Anaerotruncus_massiliensis"
"taxID1852361","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_bouchesdurhonensis"
"taxID1852366","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania","Holdemania_sp._Marseille-P2844"
"taxID1871016","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella_phocaeensis"
"taxID1871035","Bacteria","Firmicutes","unclassified","unclassified","unclassified","Negativibacillus","Negativibacillus_massiliensis"
"taxID1982628","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Faecalibacillus","Faecalibacillus_faecis"
"taxID2030927","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","Bacteroidales_bacterium"
"taxID2292041","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea_sp._AF36-15AT"
"taxID2292069","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus_sp._AF41-9"
"taxID2292274","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","unclassified","Clostridiaceae_bacterium_OM08-6BH"
"taxID2292304","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_sp._AM33-3"
"taxID2292961","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_sp._AF19-10LB"
"taxID2293097","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea_sp._AF24-7LB"
