"OTU","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"taxID1965537","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Flavonifractor","Flavonifractor_sp._An10"
"taxID2025493","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Blautia","Blautia_hominis"
"taxID33033","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Parvimonas","Parvimonas_micra"
"taxID1528099","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Lawsonellaceae","Lawsonella","Lawsonella_clevelandensis"
"taxID287","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_aeruginosa"
"taxID571","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","Klebsiella_oxytoca"
"taxID584","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Proteus","Proteus_mirabilis"
"taxID1280","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_aureus"
"taxID1282","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_epidermidis"
"taxID1302","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_gordonii"
"taxID1596","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_gasseri"
"taxID1598","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_reuteri"
"taxID1744","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_freudenreichii"
"taxID2047","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia_dentocariosa"
"taxID29363","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_paraputrificum"
"taxID67824","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_farmeri"
"taxID71452","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_raffinosus"
"taxID81424","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","[Clostridium]_methoxybenzovorans"
"taxID180332","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Robinsoniella","Robinsoniella_peoriensis"
"taxID230143","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia_wiggsiae"
"taxID1577792","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Terrisporobacter","Terrisporobacter_othiniensis"
"taxID1689270","Bacteria","Firmicutes","Clostridia","Eubacteriales","unclassified","Intestinimonas","Intestinimonas_timonensis"
"taxID237576","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium_sinus"
"taxID658659","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","unclassified","Erysipelotrichaceae_bacterium_3_1_53"
"taxID1579343","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sp._263_SSPC"
"taxID1472761","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Enorma","Enorma_massiliensis"
"taxID2720825","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Allochristensenella","Candidatus_Allochristensenella_caecavium"
"taxID1283","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus_haemolyticus"
"taxID1354","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_hirae"
"taxID1382","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella_parvula"
"taxID1661","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Trueperella","Trueperella_pyogenes"
"taxID39777","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella","Veillonella_atypica"
"taxID68892","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_infantis"
"taxID157687","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","Leptotrichia_wadei"
"taxID169292","Bacteria","Actinobacteria","Actinomycetia","Corynebacteriales","Corynebacteriaceae","Corynebacterium","Corynebacterium_aurimucosum"
"taxID187326","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera_micronuciformis"
"taxID272548","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_dentalis"
"taxID796942","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Stomatobaculum","Stomatobaculum_longum"
"taxID1284680","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._S6-Spd3"
"taxID824","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_gracilis"
"taxID1499683","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_culturomicium"
"taxID1353","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_gallinarum"
"taxID1589","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactiplantibacillus","Lactiplantibacillus_pentosus"
"taxID1655","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_naeslundii"
"taxID29391","Bacteria","Firmicutes","Bacilli","Bacillales","unclassified","Gemella","Gemella_morbillorum"
"taxID45634","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_cristatus"
"taxID1230734","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","Clostridiales_bacterium_S5-A14a"
"taxID1871021","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoclostridium","Lachnoclostridium_phocaeense"
"taxID2584659","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Lactonifactor","Lactonifactor_sp._BIOML-A6"
"taxID2721154","Bacteria","Firmicutes","Clostridia","unclassified","unclassified","Candidatus_Schneewindia","Candidatus_Schneewindia_gallinarum"
"taxID1583","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","Weissella_confusa"
"taxID2751","Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Carnobacterium","Carnobacterium_maltaromaticum"
"taxID2030927","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","unclassified","unclassified","Bacteroidales_bacterium"
"taxID1276","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Kytococcaceae","Kytococcus","Kytococcus_sedentarius"
"taxID1632","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_oris"
"taxID1599","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Latilactobacillus","Latilactobacillus_sakei"
"taxID876","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","Desulfovibrio_desulfuricans"
"taxID582","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Morganella","Morganella_morganii"
"taxID1622","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Ligilactobacillus","Ligilactobacillus_murinus"
"taxID40519","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Ruminococcus","Ruminococcus_callidus"
"taxID46507","Bacteria","Firmicutes","Tissierellia","unclassified","unclassified","Ezakiella","Ezakiella_coagulans"
"taxID363265","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_stercorea"
"taxID574930","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Parabacteroides_gordonii"
"taxID1432052","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Eisenbergiella","Eisenbergiella_tayi"
"taxID1871029","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Intestinibacillus","Intestinibacillus_massiliensis"
"taxID2040291","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Dorea","Dorea_phocaeensis"
"taxID2583452","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Amedibacterium","Amedibacterium_intestinale"
"taxID2606709","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Baileyella","Baileyella_intestinalis"
"taxID1254","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Pediococcus","Pediococcus_acidilactici"
"taxID1496","Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Clostridioides","Clostridioides_difficile"
"taxID1544","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Faecalicatena","Faecalicatena_orotica"
"taxID1750","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Arachnia","Arachnia_propionica"
"taxID46125","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia_defectiva"
"taxID143393","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","[Eubacterium]_sulci"
"taxID712411","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_sp._oral_taxon_807"
"taxID1736","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","Eubacterium_limosum"
"taxID742723","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","unclassified","Lachnospiraceae_bacterium_2_1_46FAA"
"taxID1580","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Levilactobacillus","Levilactobacillus_brevis"
"taxID53345","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_durans"
"taxID66228","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Gleimia","Gleimia_europaea"
"taxID103621","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_urogenitalis"
"taxID2763016","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Anaerofilum","Anaerofilum_sp._BX8"
"taxID199","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_concisus"
"taxID545","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_koseri"
"taxID851","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_nucleatum"
"taxID1245","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc_mesenteroides"
"taxID1383","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Lancefieldella_rimae"
"taxID33010","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium_avidum"
"taxID84163","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Cryptobacterium","Cryptobacterium_curtum"
"taxID417368","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_thailandicus"
"taxID2663009","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium_pseudoperiodonticum"
"taxID28135","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_oris"
"taxID546367","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Hafniaceae","Hafnia","Hafnia_paralvei"
"taxID200","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","Campylobacter_curvus"
"taxID1338","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_intermedius"
"taxID1492","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_butyricum"
"taxID1559","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_tertium"
"taxID1633","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","Limosilactobacillus_vaginalis"
"taxID1659","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_israelii"
"taxID35518","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","[Eubacterium]_nodatum"
"taxID35519","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium_timidum"
"taxID78259","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Scardovia","Scardovia_inopinata"
"taxID84109","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Slackia","Slackia_exigua"
"taxID118748","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Bulleidia","Bulleidia_extructa"
"taxID133926","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_uli"
"taxID156456","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Anaeroglobus","Anaeroglobus_geminatus"
"taxID556499","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Propionibacterium","Propionibacterium_acidifaciens"
"taxID712124","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._oral_taxon_448"
"taxID2584596","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","Akkermansia","Akkermansia_sp._BIOML-A40"
"taxID1584","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_delbrueckii"
"taxID56774","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","[Eubacterium]_infirmum"
"taxID1288120","Bacteria","Firmicutes","Tissierellia","Tissierellales","Peptoniphilaceae","Anaerococcus","Anaerococcus_senegalensis"
"taxID1917873","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pygmaiobacter","Pygmaiobacter_massiliensis"
"taxID47770","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus_crispatus"
"taxID28126","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Prevotella_buccae"
"taxID163665","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas","Dysgonomonas_mossii"
"taxID638849","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter_piscolens"
"taxID1745713","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Bariatricus","Bariatricus_massiliensis"
"taxID1871015","Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Pseudoflavonifractor","Pseudoflavonifractor_sp._Marseille-P3106"
"taxID1965557","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Massilimicrobiota","Massilimicrobiota_sp._An134"
"taxID45851","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Butyrivibrio","Butyrivibrio_crossotus"
"taxID1499684","Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium","Clostridium_jeddahitimonense"
"taxID1252","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Leuconostoc","Leuconostoc_carnosum"
"taxID71451","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus_malodoratus"
"taxID1675036","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","Megasphaera_hexanoica"
"taxID1852375","Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","Acidaminococcus","Acidaminococcus_massiliensis"
"taxID712888","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinobaculum","Actinobaculum_sp._oral_taxon_183"
"taxID739","Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","Aggregatibacter","Aggregatibacter_segnis"
"taxID1747","Bacteria","Actinobacteria","Actinomycetia","Propionibacteriales","Propionibacteriaceae","Cutibacterium","Cutibacterium_acnes"
"taxID31973","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Coprobacillaceae","Eggerthia","Eggerthia_catenaformis"
"taxID51123","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","[Eubacterium]_saphenum"
"taxID52769","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_gerencseriae"
"taxID67827","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","Citrobacter_werkmanii"
"taxID76124","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","unclassified","[Eubacterium]_minutum"
"taxID78258","Bacteria","Actinobacteria","Actinomycetia","Bifidobacteriales","Bifidobacteriaceae","Parascardovia","Parascardovia_denticolens"
"taxID86332","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales Family XIII. Incertae Sedis","Mogibacterium","Mogibacterium_pumilum"
"taxID113287","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Pseudoramibacter","Pseudoramibacter_alactolyticus"
"taxID138595","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_profusa"
"taxID172042","Bacteria","Actinobacteria","Actinomycetia","Micrococcales","Micrococcaceae","Rothia","Rothia_aeria"
"taxID176090","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_sinensis"
"taxID181487","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Schaalia","Schaalia_cardiffensis"
"taxID206043","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_oricola"
"taxID315405","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus_gallolyticus"
"taxID544581","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_johnsonii"
"taxID651822","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Fretibacterium","Fretibacterium_fastidiosum"
"taxID652706","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oribacterium","Oribacterium_sp._oral_taxon_078"
"taxID712158","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","Atopobium_sp._oral_taxon_810"
"taxID936594","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum_sp._ICM7"
"taxID979627","Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnoanaerobaculum","Lachnoanaerobaculum_orale"
"taxID1531429","Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Berryella","Berryella_intestinalis"
"taxID1581061","Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Abiotrophia","Abiotrophia_sp._HMSC24B09"
"taxID1852379","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Colibacter","Colibacter_massiliensis"
"taxID1852385","Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella","Olsenella_phocaeensis"
"taxID1986206","Bacteria","Candidatus Saccharibacteria","Candidatus Saccharimonadia","Candidatus Saccharimonadales","Candidatus Saccharimonadaceae","Candidatus_Nanosynsacchari","Candidatus_Nanosynsacchari_sp._TM7_ANC_38.39_G1_1"
"taxID2081702","Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces_sp._oral_taxon_897"
